1,Bulbasaur,Planta,65,45,49,49,65,45,Espesura,true
2,Ivysaur,Planta,80,60,63,62,80,60,Espesura,true
3,Venusaur,Planta,100,80,83,82,100,80,Espesura,false
4,Charmander,Fuego,60,39,43,52,50,65,Mar llamas,false
5,Charmeleon,Fuego,80,58,58,64,65,80,Mar llamas,false
6,Charizard,Fuego,109,78,78,84,85,100,Mar llamas,false
7,Squirtle,Agua,50,44,65,48,64,43,Torrente,false
8,Wartortle,Agua,65,59,80,63,80,58,Torrente,false
9,Blastoise,Agua,85,79,100,83,105,78,Torrente,true
10,Caterpie,Bicho,20,45,35,30,20,45,Polvo escudo,false
11,Metapod,Bicho,25,50,55,20,25,30,Mudar,false
12,Butterfree,Bicho,90,60,50,45,80,70,Ojo compuesto,false
13,Weedle,Bicho,20,40,30,35,20,50,Polvo escudo,false
14,Kakuna,Bicho,25,45,50,25,25,35,Mudar,false
15,Beedrill,Bicho,45,65,40,90,80,75,Enjambre,false
16,Pidgey,Volador,35,40,40,45,35,56,Tumbos,false
17,Pidgeotto,Volador,50,63,55,60,50,71,Tumbos,false
18,Pidgeot,Volador,70,83,75,80,70,101,Tumbos,false
19,Rattata,Normal,25,30,35,56,35,72,Fuga,false
20,Raticate,Normal,50,55,60,81,70,97,Fuga,false
21,Spearow,Volador,31,40,30,60,31,70,Vista lince,false
22,Fearow,Volador,61,65,65,90,61,100,Vista lince,false
23,Ekans,Veneno,40,35,44,60,54,55,Mudar,false
24,Arbok,Veneno,65,60,69,95,79,80,Mudar,false
25,Pikachu,Electrico,50,35,40,55,50,90,Electricidad estatica,true
26,Raichu,Electrico,90,60,55,90,80,110,Electricidad estatica,false
27,Sandshrew,Tierra,20,50,85,75,30,40,Velo arena,false
28,Sandslash,Tierra,45,75,110,100,55,65,Velo arena,false
29,Nidoran 1 ♀,Veneno,40,55,52,47,40,41,Punto toxico,false
30,Nidorina,Veneno,55,70,67,62,55,56,Punto toxico,false
31,Nidoqueen,Tierra,75,90,87,92,85,76,Punto toxico,false
32,Nidoran 2 ♂,Veneno,40,46,40,57,40,50,Punto toxico,false
33,Nidorino,Veneno,55,61,57,72,55,65,Punto toxico,false
34,Nidoking,Tierra,85,81,77,102,75,85,Punto toxico,false
35,Clefairy,Hada,60,70,48,45,65,35,Gran encanto,false
36,Clefable,Hada,95,95,73,70,90,60,Gran encanto,false
37,Vulpix,Fuego,50,38,40,41,65,65,Absorbe fuego,false
38,Ninetales,Fuego,81,73,75,76,100,100,Absorbe fuego,true
39,Jigglypuff,Hada,45,115,20,45,25,20,Gran encanto,false
40,Wigglytuff,Hada,85,140,45,70,50,45,Gran encanto,false
